filer,name,ticker,date,type,current_shares,current_value,previous_shares,previous_value,current_percent,previous_percent,rank,previous_rank,change_in_shares,change_type,sector
COATUE MANAGEMENT LLC,Clear Channel Communications Inc.,CCU,3/31/01,SH,134500,7323525,0,0,10.7066,,1,999999,,new,CONSUMER DISCRETIONARY
COATUE MANAGEMENT LLC,EchoStar Corp.,SATS,3/31/01,SH,190500,5274469,0,0,7.711,,2,999999,,new,CONSUMER DISCRETIONARY
COATUE MANAGEMENT LLC,"Lamar Advertising Co, Class A",LAMR,3/31/01,SH,138000,5071500,0,0,7.4143,,3,999999,,new,CONSUMER DISCRETIONARY
COATUE MANAGEMENT LLC,"Level 3 Communications, Inc.",LVLT,3/31/01,SH,17767,4630438,0,0,6.7695,,4,999999,,new,UTILITIES & TELECOMMUNICATIONS
COATUE MANAGEMENT LLC,CBS Corp. (DE) Class B,CBS,3/31/01,SH,101200,4449764,0,0,6.5053,,5,999999,,new,CONSUMER DISCRETIONARY
COATUE MANAGEMENT LLC,Entercom Communications Corp.,ETM,3/31/01,SH,84400,3316920,0,0,4.8492,,6,999999,,new,CONSUMER DISCRETIONARY
COATUE MANAGEMENT LLC,"Charter Communications, Inc. (Old) Class A",CHTRQ,3/31/01,SH,139600,3158450,0,0,4.6175,,7,999999,,new,CONSUMER DISCRETIONARY
COATUE MANAGEMENT LLC,IAC/InterActiveCorp,IACI,3/31/01,SH,31925,3056819,0,0,4.4689,,8,999999,,new,CONSUMER DISCRETIONARY
COATUE MANAGEMENT LLC,Selectica Inc,SLTC,3/31/01,SH,27270,2836080,0,0,4.1462,,9,999999,,new,INFORMATION TECHNOLOGY
COATUE MANAGEMENT LLC,Motors Liquidation Corp. (Old General Motors Corp.),MTLQQ,3/31/01,SH,137300,2677350,0,0,3.9142,,10,999999,,new,CONSUMER DISCRETIONARY
COATUE MANAGEMENT LLC,Broadbase Software Inc.,BBSW,3/31/01,SH,1251800,2542719,0,0,3.7173,,11,999999,,new,INFORMATION TECHNOLOGY
COATUE MANAGEMENT LLC,"TyCom, Ltd.",TCM,3/31/01,SH,187800,2469570,0,0,3.6104,,12,999999,,new,INFORMATION TECHNOLOGY
COATUE MANAGEMENT LLC,MatrixOne Inc,MONE,3/31/01,SH,134800,2300025,0,0,3.3625,,13,999999,,new,INFORMATION TECHNOLOGY
COATUE MANAGEMENT LLC,Dial Global Inc. Class A,DIAL,3/31/01,SH,80300,1848506,0,0,2.7024,,14,999999,,new,CONSUMER DISCRETIONARY
COATUE MANAGEMENT LLC,"360 Networks, Inc.",TSIX,3/31/01,SH,466600,1662263,0,0,2.4301,,15,999999,,new,INFORMATION TECHNOLOGY
COATUE MANAGEMENT LLC,Emulex Corp.,ELX,3/31/01,SH,87047,1637572,0,0,2.394,,16,999999,,new,INFORMATION TECHNOLOGY
COATUE MANAGEMENT LLC,RCN Corp (New),RCNI,3/31/01,SH,265000,1598281,0,0,2.3366,,17,999999,,new,INFORMATION TECHNOLOGY
COATUE MANAGEMENT LLC,Art Technology Group Inc.,ARTG,3/31/01,SH,132600,1591200,0,0,2.3263,,18,999999,,new,INFORMATION TECHNOLOGY
COATUE MANAGEMENT LLC,Amazon.com Inc.,AMZN,3/31/01,SH,144500,1478235,0,0,2.1611,,19,999999,,new,CONSUMER DISCRETIONARY
COATUE MANAGEMENT LLC,WinStar Communications Inc.,WCII,3/31/01,SH,645200,1391213,0,0,2.0339,,20,999999,,new,UTILITIES & TELECOMMUNICATIONS
COATUE MANAGEMENT LLC,Network Plus Corp,NPLSQ,3/31/01,SH,324200,1266406,0,0,1.8514,,21,999999,,new,INFORMATION TECHNOLOGY
COATUE MANAGEMENT LLC,"Centillum Communications, Inc.",CTLM,3/31/01,SH,50400,1231650,0,0,1.8006,,22,999999,,new,INFORMATION TECHNOLOGY
