filer,name,ticker,date,type,current_shares,current_value,previous_shares,previous_value,current_percent,previous_percent,rank,previous_rank,change_in_shares,change_type,sector
"ELLIOTT ASSOCIATES, L.P.",Horizon Offshore Inc,HOFF,3/31/01,SH,7330418,95295434,0,0,7.5942,,1,999999,,new,ENERGY
"ELLIOTT ASSOCIATES, L.P.",International Business Machines,IBM,3/31/01,PUT,500000,48090000,0,0,3.8323,,2,999999,,new,INFORMATION TECHNOLOGY
"ELLIOTT ASSOCIATES, L.P.",PowerShares QQQ Trust - Unit Series 1,QQQ,3/31/01,CALL,1100000,43065000,0,0,3.4319,,3,999999,,new,FINANCE
"ELLIOTT ASSOCIATES, L.P.",Fannie Mae,FNMA,3/31/01,PUT,500000,39800000,0,0,3.1717,,4,999999,,new,FINANCE
"ELLIOTT ASSOCIATES, L.P.","Allstream Inc, Class B",ALLSB,3/31/01,SH,1070700,31251056,0,0,2.4904,,5,999999,,new,UTILITIES & TELECOMMUNICATIONS
"ELLIOTT ASSOCIATES, L.P.",Enron Corp.,ENRNQ,3/31/01,PUT,400000,23240000,0,0,1.852,,6,999999,,new,UTILITIES & TELECOMMUNICATIONS
"ELLIOTT ASSOCIATES, L.P.",Whirlpool Corp. (DE),WHR,3/31/01,PUT,455000,22745450,0,0,1.8126,,7,999999,,new,CONSUMER DISCRETIONARY
"ELLIOTT ASSOCIATES, L.P.",United Technologies Corp.,UTX,3/31/01,PUT,600000,21990000,0,0,1.7524,,8,999999,,new,INDUSTRIALS
"ELLIOTT ASSOCIATES, L.P.",3M Company,MMM,3/31/01,PUT,400000,20780000,0,0,1.656,,9,999999,,new,INDUSTRIALS
"ELLIOTT ASSOCIATES, L.P.",VoiceStream Wireless Corp.,VSTR,3/31/01,SH,207952,19196570,0,0,1.5298,,10,999999,,new,UTILITIES & TELECOMMUNICATIONS
"ELLIOTT ASSOCIATES, L.P.",Emerson Electric Co.,EMR,3/31/01,PUT,600000,18600000,0,0,1.4823,,11,999999,,new,INDUSTRIALS
"ELLIOTT ASSOCIATES, L.P.","Citigroup, Inc.",C,3/31/01,CALL,40000,17992000,0,0,1.4338,,12,999999,,new,FINANCE
"ELLIOTT ASSOCIATES, L.P.",Goldman Sachs Group,GS,3/31/01,CALL,200000,17020000,0,0,1.3563,,13,999999,,new,FINANCE
"ELLIOTT ASSOCIATES, L.P.",Secure Computing Corp.,SCUR,3/31/01,SH,1704034,16294825,0,0,1.2986,,14,999999,,new,INFORMATION TECHNOLOGY
"ELLIOTT ASSOCIATES, L.P.",United Microelectronics Corp.,UMC,3/31/01,SH,1873476,16236792,0,0,1.2939,,15,999999,,new,INFORMATION TECHNOLOGY
"ELLIOTT ASSOCIATES, L.P.",Morgan Stanley,MS,3/31/01,CALL,300000,16050000,0,0,1.279,,16,999999,,new,FINANCE
"ELLIOTT ASSOCIATES, L.P.",BayCorp Holdings Ltd.,MWH,3/31/01,SH,1940808,14556061,0,0,1.16,,17,999999,,new,UTILITIES & TELECOMMUNICATIONS
"ELLIOTT ASSOCIATES, L.P.",QUALCOMM Inc.,QCOM,3/31/01,PUT,500000,14156250,0,0,1.1281,,18,999999,,new,INFORMATION TECHNOLOGY
