filer,name,ticker,date,type,current_shares,current_value,previous_shares,previous_value,current_percent,previous_percent,rank,previous_rank,change_in_shares,change_type,sector
THIRD POINT LLC,"Agribrands International, Inc.",AGX,3/31/01,SH,505400,27281000,0,0,18.4757,,1,999999,,new,CONSUMER STAPLES
THIRD POINT LLC,Honeywell International Inc.,HON,3/31/01,SH,425400,17356000,0,0,11.7541,,2,999999,,new,INDUSTRIALS
THIRD POINT LLC,InfraSource Services Inc.,IFS,3/31/01,SH,1090100,12863000,0,0,8.7113,,3,999999,,new,INDUSTRIALS
THIRD POINT LLC,VoiceStream Wireless Corp.,VSTR,3/31/01,SH,103771,9579000,0,0,6.4872,,4,999999,,new,UTILITIES & TELECOMMUNICATIONS
THIRD POINT LLC,Bindview Development Corp.,BVEW,3/31/01,SH,2394000,7332000,0,0,4.9655,,5,999999,,new,INFORMATION TECHNOLOGY
THIRD POINT LLC,Gentiva Health Services Inc,GTIV,3/31/01,SH,309310,5877000,0,0,3.9801,,6,999999,,new,HEALTH CARE
THIRD POINT LLC,Local Financial Corp.,LFIN,3/31/01,SH,415100,5241000,0,0,3.5494,,7,999999,,new,FINANCE
THIRD POINT LLC,InVentiv Health Inc,VTIV,3/31/01,SH,320000,4920000,0,0,3.332,,8,999999,,new,HEALTH CARE
THIRD POINT LLC,American Physicians Capital Inc,ACAP,3/31/01,SH,331066,4454000,0,0,3.0164,,9,999999,,new,FINANCE
THIRD POINT LLC,Advanta Corp. Class B,ADVNB,3/31/01,SH,300000,4088000,0,0,2.7685,,10,999999,,new,FINANCE
THIRD POINT LLC,Spectrum Control Inc.,SPEC,3/31/01,SH,459000,3471000,0,0,2.3507,,11,999999,,new,INFORMATION TECHNOLOGY
THIRD POINT LLC,Sawtek Inc.,SAWS,3/31/01,SH,190000,3373000,0,0,2.2843,,12,999999,,new,INFORMATION TECHNOLOGY
THIRD POINT LLC,Endo Internation,ENDP,3/31/01,SH,478100,3287000,0,0,2.2261,,13,999999,,new,HEALTH CARE
THIRD POINT LLC,Catalytica Inc,CTAL,3/31/01,SH,154837,3223000,0,0,2.1827,,14,999999,,new, 
THIRD POINT LLC,"Intermedia Communications, Inc.",ICIX,3/31/01,SH,178901,3097000,0,0,2.0974,,15,999999,,new,UTILITIES & TELECOMMUNICATIONS
THIRD POINT LLC,Sodexho Marriott Services,SDH,3/31/01,SH,100000,2905000,0,0,1.9674,,16,999999,,new,CONSUMER DISCRETIONARY
THIRD POINT LLC,Rogers Corp.,ROG,3/31/01,SH,81500,2894000,0,0,1.9599,,17,999999,,new,INFORMATION TECHNOLOGY
THIRD POINT LLC,Price Communications Corp.,PCMC,3/31/01,SH,160000,2754000,0,0,1.8651,,18,999999,,new,UTILITIES & TELECOMMUNICATIONS
THIRD POINT LLC,AT&T Corp.,T,3/31/01,SH,101200,2156000,0,0,1.4601,,19,999999,,new,UTILITIES & TELECOMMUNICATIONS
THIRD POINT LLC,"Cobalt Group, Inc.",CBLT,3/31/01,SH,798258,2091000,0,0,1.4161,,20,999999,,new,INFORMATION TECHNOLOGY
THIRD POINT LLC,ChemFirst Inc.,CEM,3/31/01,SH,75300,2007000,0,0,1.3592,,21,999999,,new,MATERIALS
THIRD POINT LLC,Spectrian Corp.,SPCT,3/31/01,SH,151600,1867000,0,0,1.2644,,23,999999,,new,INFORMATION TECHNOLOGY
THIRD POINT LLC,China Media Group Corp.,CHMD,3/31/01,SH,121892,1691000,0,0,1.1452,,24,999999,,new,CONSUMER DISCRETIONARY
THIRD POINT LLC,"GPU, Inc.",GPU,3/31/01,SH,349100,1342000,0,0,0.9089,,25,999999,,new,UTILITIES & TELECOMMUNICATIONS
THIRD POINT LLC,USA Detergents Inc.,USAD,3/31/01,SH,212500,1229000,0,0,0.8323,,26,999999,,new,CONSUMER STAPLES
THIRD POINT LLC,Guess? Inc.,GES,3/31/01,SH,395800,1225000,0,0,0.8296,,27,999999,,new,CONSUMER DISCRETIONARY
THIRD POINT LLC,Navigant International Inc,FLYR,3/31/01,SH,109650,1138000,0,0,0.7707,,28,999999,,new,CONSUMER DISCRETIONARY
THIRD POINT LLC,Georgia-Pacific Corp,GP,3/31/01,SH,36000,1033000,0,0,0.6996,,29,999999,,new,MATERIALS
THIRD POINT LLC,Xicor Inc.,XICO,3/31/01,SH,295000,1033000,0,0,0.6996,,30,999999,,new,INFORMATION TECHNOLOGY
THIRD POINT LLC,"Sybron Dental Specialties, Inc.",SYD,3/31/01,SH,48897,1027000,0,0,0.6955,,31,999999,,new,HEALTH CARE
THIRD POINT LLC,American Community Properties Trust,APO,3/31/01,SH,144000,720000,0,0,0.4876,,32,999999,,new,FINANCE
THIRD POINT LLC,"Ventas, Inc.",VTR,3/31/01,SH,72800,619000,0,0,0.4192,,33,999999,,new,FINANCE
THIRD POINT LLC,"Methode Electronics Inc., Class B",MEIB,3/31/01,SH,32246,574000,0,0,0.3887,,34,999999,,new,INDUSTRIALS
THIRD POINT LLC,PacWest Bancorp (DE),PACW,3/31/01,SH,28745,568000,0,0,0.3847,,35,999999,,new,FINANCE
THIRD POINT LLC,SoftQuad Software Ltd.,SXML,3/31/01,SH,133340,267000,0,0,0.1808,,36,999999,,new,INFORMATION TECHNOLOGY
THIRD POINT LLC,MONY Group Inc.,MNY,3/31/01,SH,7500,249000,0,0,0.1686,,37,999999,,new,FINANCE
THIRD POINT LLC,Preview Systems Inc,PRVWZ,3/31/01,SH,75000,202000,0,0,0.1368,,38,999999,,new,INFORMATION TECHNOLOGY
THIRD POINT LLC,American Technical Ceramics Inc.,AMK,3/31/01,SH,17200,151000,0,0,0.1023,,39,999999,,new,INFORMATION TECHNOLOGY
THIRD POINT LLC,"Directrix, Inc.",DRCXQ,3/31/01,SH,54312,136000,0,0,0.0921,,40,999999,,new,CONSUMER DISCRETIONARY
THIRD POINT LLC,"Pinnacle Entertainment, Inc.",PNK,3/31/01,SH,10000,105000,0,0,0.0711,,41,999999,,new,FINANCE
THIRD POINT LLC,Onvia.com Inc,ONVI,3/31/01,SH,9908,68000,0,0,0.0461,,42,999999,,new,INFORMATION TECHNOLOGY
