filer,name,ticker,date,type,current_shares,current_value,previous_shares,previous_value,current_percent,previous_percent,rank,previous_rank,change_in_shares,change_type,sector
CQS CAYMAN LP,Wells Fargo & Co. (New),WFC,3/31/08,PRN,120298,120448000,0,0,8.1379,,1,999999,,new,FINANCE
CQS CAYMAN LP,Omnicom Group Inc.,OMC,3/31/08,PRN,105000,105590000,0,0,7.134,,2,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Amgen, Inc.",AMGN,3/31/08,PRN,70000,60914000,0,0,4.1156,,3,999999,,new,HEALTH CARE
CQS CAYMAN LP,Ford Motor Co.,F,3/31/08,PRN,71000,60369000,0,0,4.0787,,4,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,Vornado Realty Trust,VNO,3/31/08,PRN,69500,59524000,0,0,4.0216,,5,999999,,new,FINANCE
CQS CAYMAN LP,"Health Care REIT, Inc.",HCN,3/31/08,PRN,52000,55923000,0,0,3.7783,,6,999999,,new,FINANCE
CQS CAYMAN LP,Transocean Ltd,RIG,3/31/08,PRN,42500,46459000,0,0,3.1389,,7,999999,,new,ENERGY
CQS CAYMAN LP,"Nextel Communications Inc., Class A",NXTL,3/31/08,PRN,46840,42917000,0,0,2.8996,,8,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,General Mills Co.,GIS,3/31/08,PRN,84000,42100000,0,0,2.8444,,9,999999,,new,CONSUMER STAPLES
CQS CAYMAN LP,"Boston Properties, Inc.",BXP,3/31/08,PRN,44175,42042000,0,0,2.8405,,10,999999,,new,FINANCE
CQS CAYMAN LP,"New York Community Capital Trust V, Bifurcated Option Note Unit SecuritiES (BONUSES) Units",NYCB+U,3/31/08,SH,16412,39108000,0,0,2.6423,,11,999999,,new,FINANCE
CQS CAYMAN LP,Biomarin Pharmaceutical Inc.,BMRN,3/31/08,PRN,20700,38913000,0,0,2.6291,,12,999999,,new,HEALTH CARE
CQS CAYMAN LP,"Vornado Realty L.P., 7.875% Public Income NotES (PINES) Due 10/1/2039",VNOD,3/31/08,PRN,42500,37927000,0,0,2.5625,,13,999999,,new,FINANCE
CQS CAYMAN LP,Getty Images Inc,GYI,3/31/08,PRN,38000,37050000,0,0,2.5032,,14,999999,,new,INDUSTRIALS
CQS CAYMAN LP,DDR Corp,DDR,3/31/08,PRN,40000,34591000,0,0,2.3371,,15,999999,,new,FINANCE
CQS CAYMAN LP,Countrywide Financial Corp.,CFC,3/31/08,PRN,35000,31150000,0,0,2.1046,,16,999999,,new,FINANCE
CQS CAYMAN LP,"Reinsurance Group of America, I",RGA-PA,3/31/08,SH,8773,30699000,0,0,2.0741,,17,999999,,new,UNKNOWN
CQS CAYMAN LP,Nabors Industries Ltd.,NBR,3/31/08,PRN,30000,30668000,0,0,2.072,,18,999999,,new,ENERGY
CQS CAYMAN LP,ProLogis Corp.,PLD,3/31/08,PRN,32500,29372000,0,0,1.9845,,19,999999,,new,FINANCE
