filer,name,ticker,date,type,current_shares,current_value,previous_shares,previous_value,current_percent
SOROS FUND MANAGEMENT LLC,"Bucyrus International, Inc (New)",BUCY,3/31/07,SH,11252,290000,0,0,0.0117
SOROS FUND MANAGEMENT LLC,Silgan Holdings Inc,SLGN,3/31/07,SH,11300,289000,0,0,0.0116
SOROS FUND MANAGEMENT LLC,"Praxair, Inc.",PX,3/31/07,SH,4516,284000,0,0,0.0114
SOROS FUND MANAGEMENT LLC,V.F. Corp.,VFC,3/31/07,SH,13572,280000,0,0,0.0113
SOROS FUND MANAGEMENT LLC,"Harte-Hanks, Inc.",HHS,3/31/07,SH,10097,279000,0,0,0.0112
SOROS FUND MANAGEMENT LLC,Honeywell International Inc.,HON,3/31/07,SH,6068,279000,0,0,0.0112
SOROS FUND MANAGEMENT LLC,Hartford Financial Services Group,HIG,3/31/07,SH,2912,278000,0,0,0.0112
SOROS FUND MANAGEMENT LLC,Ariad Pharmaceuticals Inc.,ARIA,3/31/07,SH,61602,277000,61602,317000,0.0112
SOROS FUND MANAGEMENT LLC,Nordson Corporation,NDSN,3/31/07,SH,11936,277000,0,0,0.0112
SOROS FUND MANAGEMENT LLC,Nucor Corp.,NUE,3/31/07,SH,4226,275000,0,0,0.0111
SOROS FUND MANAGEMENT LLC,"Texas Industries, Inc.",TXI,3/31/07,SH,3629,274000,0,0,0.011
SOROS FUND MANAGEMENT LLC,Charles Schwab Corp,SCHW,3/31/07,SH,14966,274000,0,0,0.011
SOROS FUND MANAGEMENT LLC,Build-A-Bear Workshop Inc,BBW,3/31/07,SH,9956,273000,0,0,0.011
SOROS FUND MANAGEMENT LLC,Nymex Holdings Inc,NMX,3/31/07,SH,2004,272000,0,0,0.011
SOROS FUND MANAGEMENT LLC,Terra Industries Inc,TRA,3/31/07,SH,15499,271000,0,0,0.0109
SOROS FUND MANAGEMENT LLC,Gammon Gold,GRS,3/31/07,SH,15351,271000,0,0,0.0109
SOROS FUND MANAGEMENT LLC,"Jack In The Box, Inc",JACK,3/31/07,SH,3876,268000,0,0,0.0108
SOROS FUND MANAGEMENT LLC,Keystone Automative Industries Inc,KEYS,3/31/07,SH,7931,267000,0,0,0.0108
SOROS FUND MANAGEMENT LLC,Childrens Place,PLCE,3/31/07,SH,4766,266000,0,0,0.0107
SOROS FUND MANAGEMENT LLC,Cascade Corp.,CASC,3/31/07,SH,4426,265000,0,0,0.0107
SOROS FUND MANAGEMENT LLC,"Under Armour Inc, Class A",UA,3/31/07,SH,20632,265000,0,0,0.0107
SOROS FUND MANAGEMENT LLC,"Valmont Industries, Inc.",VMI,3/31/07,SH,4570,264000,0,0,0.0106
SOROS FUND MANAGEMENT LLC,Ceradyne Inc.,CRDN,3/31/07,SH,4823,264000,0,0,0.0106
SOROS FUND MANAGEMENT LLC,Nordstrom Inc.,JWN,3/31/07,SH,4946,262000,215350,10625000,0.0105
SOROS FUND MANAGEMENT LLC,Emerson Electric Co.,EMR,3/31/07,SH,6056,261000,0,0,0.0105
SOROS FUND MANAGEMENT LLC,"Micron Technology, Inc.",MU,3/31/07,SH,21301,257000,0,0,0.0103
SOROS FUND MANAGEMENT LLC,Kenexa Corporation,KNXA,3/31/07,SH,8219,256000,0,0,0.0103
SOROS FUND MANAGEMENT LLC,Mirant Corp. (New),MIR,3/31/07,SH,6292,255000,0,0,0.0103
SOROS FUND MANAGEMENT LLC,NewMarket Corp,NEU,3/31/07,SH,6276,255000,0,0,0.0103
SOROS FUND MANAGEMENT LLC,Computer Sciences Corp.,CSC,3/31/07,SH,4855,253000,0,0,0.0102
SOROS FUND MANAGEMENT LLC,Beacon Roofing Supply Inc,BECN,3/31/07,SH,15644,253000,0,0,0.0102
SOROS FUND MANAGEMENT LLC,Catalina Marketing Corp.,POS,3/31/07,SH,7938,251000,0,0,0.0101
SOROS FUND MANAGEMENT LLC,Actuant Corp,ATU,3/31/07,SH,9786,249000,0,0,0.01
SOROS FUND MANAGEMENT LLC,Amazon.com Inc.,AMZN,3/31/07,PRN,250000,247000,12500000,12266000,0.0099
SOROS FUND MANAGEMENT LLC,Live Nation Entertainment Inc.,LYV,3/31/07,SH,11141,246000,0,0,0.0099
SOROS FUND MANAGEMENT LLC,Avery Dennison Corp.,AVY,3/31/07,SH,3796,244000,0,0,0.0098
SOROS FUND MANAGEMENT LLC,SanDisk Corp.,SNDK,3/31/07,SH,5553,243000,0,0,0.0098
SOROS FUND MANAGEMENT LLC,"McGraw-Hill Financial, Inc.",MHFI,3/31/07,SH,3850,242000,0,0,0.0097
SOROS FUND MANAGEMENT LLC,Marvel Entertainment Inc,MVL,3/31/07,SH,8672,241000,0,0,0.0097
SOROS FUND MANAGEMENT LLC,ManpowerGroup Inc.,MAN,3/31/07,SH,3262,241000,0,0,0.0097
SOROS FUND MANAGEMENT LLC,"MGM Resorts International, Inc.",MGM,3/31/07,SH,3469,241000,0,0,0.0097
SOROS FUND MANAGEMENT LLC,Pacific Sunwear of California Inc.,PSUN,3/31/07,SH,11516,240000,0,0,0.0097
SOROS FUND MANAGEMENT LLC,"Robert Half International, Inc.",RHI,3/31/07,SH,6454,239000,0,0,0.0096
SOROS FUND MANAGEMENT LLC,"Caseys General Stores, Inc.",CASY,3/31/07,SH,9565,239000,0,0,0.0096
SOROS FUND MANAGEMENT LLC,"Hot Topic, Inc.",HOTT,3/31/07,SH,21463,238000,0,0,0.0096
SOROS FUND MANAGEMENT LLC,Greenbrier Companies Inc. (The),GBX,3/31/07,SH,8922,238000,0,0,0.0096
SOROS FUND MANAGEMENT LLC,"Marriott International, Inc. ((New)",MAR,3/31/07,SH,4832,237000,0,0,0.0095
SOROS FUND MANAGEMENT LLC,Aarons Inc. Class A,AAN,3/31/07,SH,8965,237000,0,0,0.0095
SOROS FUND MANAGEMENT LLC,Anheuser-Busch,BUD,3/31/07,SH,4676,236000,0,0,0.0095
SOROS FUND MANAGEMENT LLC,TJX Companies Inc. (New),TJX,3/31/07,SH,17522,236000,1503400,21438000,0.0095
SOROS FUND MANAGEMENT LLC,Monster Worldwide Inc.,MWW,3/31/07,SH,4962,235000,0,0,0.0095
SOROS FUND MANAGEMENT LLC,UAP Holding Corp,UAPH,3/31/07,SH,9106,235000,0,0,0.0095
SOROS FUND MANAGEMENT LLC,"Starz, Series A",STRZA,3/31/07,SH,2127,235000,3000,294000,0.0095
SOROS FUND MANAGEMENT LLC,"Lee Enterprises, Inc.",LEE,3/31/07,SH,7835,235000,0,0,0.0095
SOROS FUND MANAGEMENT LLC,Tempur Sealy International Inc.,TPX,3/31/07,SH,9020,234000,0,0,0.0094
SOROS FUND MANAGEMENT LLC,Potash Corp. of Saskatchewan Inc.,POT,3/31/07,SH,13194,234000,0,0,0.0094
SOROS FUND MANAGEMENT LLC,Arbitron Inc. (New),ARB,3/31/07,SH,4989,234000,0,0,0.0094
SOROS FUND MANAGEMENT LLC,Gymboree Corp.,GYMB,3/31/07,SH,5792,232000,0,0,0.0093
SOROS FUND MANAGEMENT LLC,Norfolk Southern Corp.,NSC,3/31/07,SH,4556,231000,0,0,0.0093
SOROS FUND MANAGEMENT LLC,Century Aluminum Co.,CENX,3/31/07,SH,4901,230000,0,0,0.0093
SOROS FUND MANAGEMENT LLC,USANA Health Sciences Inc.,USNA,3/31/07,SH,4858,228000,0,0,0.0092
SOROS FUND MANAGEMENT LLC,IAMGold Corp. ADR,IAG,3/31/07,SH,29426,227000,0,0,0.0091
SOROS FUND MANAGEMENT LLC,Lions Gate Entertainment Corp,LGF,3/31/07,SH,19864,227000,0,0,0.0091
SOROS FUND MANAGEMENT LLC,"Sinclair Broadcast Group Inc, Class A",SBGI,3/31/07,SH,14615,226000,0,0,0.0091
SOROS FUND MANAGEMENT LLC,Scholastic Corp.,SCHL,3/31/07,SH,7233,225000,0,0,0.0091
SOROS FUND MANAGEMENT LLC,Cintas Corporation,CTAS,3/31/07,SH,6177,223000,0,0,0.009
SOROS FUND MANAGEMENT LLC,Layne Christensen Co.,LAYN,3/31/07,SH,6053,220000,0,0,0.0089
SOROS FUND MANAGEMENT LLC,OM Group,OMG,3/31/07,SH,4911,219000,0,0,0.0088
SOROS FUND MANAGEMENT LLC,Bed Bath & Beyond Inc.,BBBY,3/31/07,SH,5455,219000,0,0,0.0088
SOROS FUND MANAGEMENT LLC,Guitar Centers Inc,GTRC,3/31/07,SH,4863,219000,0,0,0.0088
SOROS FUND MANAGEMENT LLC,Baldor Electric Co.,BEZ,3/31/07,SH,5773,218000,0,0,0.0088
SOROS FUND MANAGEMENT LLC,FreightCar America Inc,RAIL,3/31/07,SH,4528,218000,0,0,0.0088
SOROS FUND MANAGEMENT LLC,Orient Express Hotels Ltd. Class A,BEL,3/31/07,SH,3652,218000,0,0,0.0088
SOROS FUND MANAGEMENT LLC,Rock-Tenn Company Class A,RKT,3/31/07,SH,13058,217000,0,0,0.0087
SOROS FUND MANAGEMENT LLC,Dress Barn Inc.,DBRN,3/31/07,SH,10261,214000,0,0,0.0086
SOROS FUND MANAGEMENT LLC,Neenah Paper Inc.,NP,3/31/07,SH,5366,213000,0,0,0.0086
SOROS FUND MANAGEMENT LLC,"Johnson Controls, Inc.",JCI,3/31/07,SH,6762,213000,0,0,0.0086
SOROS FUND MANAGEMENT LLC,Mellon Financial Corp.,MEL,3/31/07,SH,4926,213000,0,0,0.0086
SOROS FUND MANAGEMENT LLC,"Fuel-Tech, Inc.",FTEK,3/31/07,SH,8552,211000,0,0,0.0085
SOROS FUND MANAGEMENT LLC,Colgate-Palmolive Co. ,CL,3/31/07,SH,6256,209000,0,0,0.0084
SOROS FUND MANAGEMENT LLC,Republic Services Inc.,RSG,3/31/07,SH,7530,209000,0,0,0.0084
SOROS FUND MANAGEMENT LLC,AFLAC Inc.,AFL,3/31/07,SH,4436,209000,0,0,0.0084
SOROS FUND MANAGEMENT LLC,Olin Corp.,OLN,3/31/07,SH,12264,208000,0,0,0.0084
SOROS FUND MANAGEMENT LLC,"Cabelas Inc., Class A",CAB,3/31/07,SH,8330,207000,0,0,0.0083
SOROS FUND MANAGEMENT LLC,Moodys Corp,MCO,3/31/07,SH,3319,206000,70200,4848000,0.0083
SOROS FUND MANAGEMENT LLC,American Woodmark Corp,AMWD,3/31/07,SH,5564,205000,0,0,0.0083
SOROS FUND MANAGEMENT LLC,Innerworkings Inc,INWK,3/31/07,SH,17311,204000,0,0,0.0082
SOROS FUND MANAGEMENT LLC,Zumiez Inc,ZUMZ,3/31/07,SH,5064,203000,0,0,0.0082
SOROS FUND MANAGEMENT LLC,AMREP Corp. (New),AXR,3/31/07,SH,2617,202000,0,0,0.0081
SOROS FUND MANAGEMENT LLC,Panera Bread Co.,PNRA,3/31/07,SH,3426,202000,0,0,0.0081
SOROS FUND MANAGEMENT LLC,Aegion Corp. Class A,AEGN,3/31/07,SH,9709,202000,0,0,0.0081
SOROS FUND MANAGEMENT LLC,Life-Time Fitness Inc,LTM,3/31/07,SH,3934,202000,0,0,0.0081
SOROS FUND MANAGEMENT LLC,Axiall Corporation,AXLL,3/31/07,SH,497,201000,0,0,0.0081
SOROS FUND MANAGEMENT LLC,LSI Industries Inc,LYTS,3/31/07,SH,11995,201000,0,0,0.0081
SOROS FUND MANAGEMENT LLC,CSX Corp.,CSX,3/31/07,SH,15063,201000,0,0,0.0081
SOROS FUND MANAGEMENT LLC,Crocs Inc,CROX,3/31/07,SH,8528,201000,0,0,0.0081
SOROS FUND MANAGEMENT LLC,BB Liquidating Corp. Class A,BLIAQ,3/31/07,SH,31065,200000,0,0,0.0081
SOROS FUND MANAGEMENT LLC,Stillwater Mining Co.,SWC,3/31/07,SH,15290,194000,0,0,0.0078
SOROS FUND MANAGEMENT LLC,CompuWare Corp.,CPWR,3/31/07,SH,20000,190000,44000,367000,0.0077
SOROS FUND MANAGEMENT LLC,Flextronics International Inc.,FLEX,3/31/07,SH,17135,187000,0,0,0.0075
SOROS FUND MANAGEMENT LLC,"Stein Mart, Inc.",SMRT,3/31/07,SH,11008,180000,0,0,0.0072
SOROS FUND MANAGEMENT LLC,Advanced Micro Devices,AMD,3/31/07,SH,13753,180000,0,0,0.0072
SOROS FUND MANAGEMENT LLC,"Allied Waste Industries, Inc.",AW,3/31/07,SH,14161,178000,0,0,0.0072
SOROS FUND MANAGEMENT LLC,Synagro Technologies Inc,SYGR,3/31/07,SH,30558,174000,0,0,0.007
SOROS FUND MANAGEMENT LLC,Alliance One International Inc.,AOI,3/31/07,SH,18367,170000,0,0,0.0068
SOROS FUND MANAGEMENT LLC,Stamps.com Inc,STMP,3/31/07,SH,11721,168000,0,0,0.0068
SOROS FUND MANAGEMENT LLC,Wet Seal Inc. (The),WTSL,3/31/07,SH,25253,165000,1044400,6966000,0.0066
SOROS FUND MANAGEMENT LLC,New York and Company Inc,NWY,3/31/07,SH,10373,164000,0,0,0.0066
SOROS FUND MANAGEMENT LLC,Hecla Mining Co. (New),HL,3/31/07,SH,18045,163000,0,0,0.0066
SOROS FUND MANAGEMENT LLC,Destination XL Group Inc.,DXLG,3/31/07,SH,12142,144000,0,0,0.0058
SOROS FUND MANAGEMENT LLC,PolyOne Corp,POL,3/31/07,SH,23342,142000,0,0,0.0057
SOROS FUND MANAGEMENT LLC,Petmed Express Inc,PETS,3/31/07,SH,11998,142000,0,0,0.0057
SOROS FUND MANAGEMENT LLC,Northern Dynasty Minerals Ltd.,NAK,3/31/07,SH,12464,141000,0,0,0.0057
SOROS FUND MANAGEMENT LLC,Cumberland Resources Ltd.,CLG,3/31/07,SH,20583,135000,0,0,0.0054
SOROS FUND MANAGEMENT LLC,On Assignment Inc.,ASGN,3/31/07,SH,10351,128000,0,0,0.0052
SOROS FUND MANAGEMENT LLC,Brocade Communications Systems Inc,BRCD,3/31/07,SH,13485,128000,0,0,0.0052
SOROS FUND MANAGEMENT LLC,"Tellabs, Inc.",TLAB,3/31/07,SH,12397,123000,0,0,0.005
SOROS FUND MANAGEMENT LLC,Novell Inc.,NOVL,3/31/07,SH,16811,121000,0,0,0.0049
SOROS FUND MANAGEMENT LLC,Calgon Carbon Corp.,CCC,3/31/07,SH,14410,120000,0,0,0.0048
SOROS FUND MANAGEMENT LLC,Entravision Communications Corp. Class A,EVC,3/31/07,SH,11949,112000,0,0,0.0045
SOROS FUND MANAGEMENT LLC,U.S. Concrete Inc,USCXW,3/31/07,SH,14025,110000,0,0,0.0044
SOROS FUND MANAGEMENT LLC,Power-One Inc.,PWER,3/31/07,SH,18478,106000,0,0,0.0043
SOROS FUND MANAGEMENT LLC,Opsware Inc,OPSW,3/31/07,SH,12998,94000,0,0,0.0038
SOROS FUND MANAGEMENT LLC,ADC Telecommunications,ADCT,3/31/07,SH,5549,93000,0,0,0.0037
SOROS FUND MANAGEMENT LLC,First Consulting Group Inc,FCGI,3/31/07,SH,10095,92000,0,0,0.0037
SOROS FUND MANAGEMENT LLC,Adtran Inc,ADTN,3/31/07,SH,3747,91000,0,0,0.0037
SOROS FUND MANAGEMENT LLC,Restoration Hardware Inc,RSTO,3/31/07,SH,12919,85000,0,0,0.0034
SOROS FUND MANAGEMENT LLC,1-800 FLOWER.COM Inc.,FLWS,3/31/07,SH,10364,81000,0,0,0.0033
SOROS FUND MANAGEMENT LLC,International Rectifier Corp.,IRF,3/31/07,SH,2042,78000,0,0,0.0031
SOROS FUND MANAGEMENT LLC,Vista Gold Corp,VGZ,3/31/07,SH,10078,75000,0,0,0.003
SOROS FUND MANAGEMENT LLC,C,CHHP.PK,3/31/07,SH,14327,72000,0,0,0.0029
SOROS FUND MANAGEMENT LLC,"US Airways Group, Inc.",LCC,3/31/07,SH,1017,46000,0,0,0.0019
SOROS FUND MANAGEMENT LLC,Novelis Inc,NVL,3/31/07,SH,1035,46000,0,0,0.0019
SOROS FUND MANAGEMENT LLC,Agere Systems Inc. Class A,AGR,3/31/07,SH,600,14000,600,12000,0.0006
SOROS FUND MANAGEMENT LLC,Apple Inc,AAPL,3/31/07,CALL,0,0,507500,6151000,
SOROS FUND MANAGEMENT LLC,Illinois Tool Works,ITW,3/31/07,SH,0,0,10744,496000,
SOROS FUND MANAGEMENT LLC,EMC Corp.,EMC,3/31/07,SH,0,0,10000,132000,
SOROS FUND MANAGEMENT LLC,eBay Inc.,EBAY,3/31/07,SH,0,0,101745,3059000,
SOROS FUND MANAGEMENT LLC,Progressive Corp.,PGR,3/31/07,SH,0,0,80300,1945000,
SOROS FUND MANAGEMENT LLC,Laboratory Corp. of America Holding Co.,LH,3/31/07,SH,0,0,61500,4518000,
SOROS FUND MANAGEMENT LLC,AGCO Corp,AGCO,3/31/07,SH,0,0,33600,1040000,
SOROS FUND MANAGEMENT LLC,Conns Inc,CONN,3/31/07,CALL,0,0,76500,1780000,
SOROS FUND MANAGEMENT LLC,El Paso Corp.,EP,3/31/07,SH,0,0,118100,1805000,
SOROS FUND MANAGEMENT LLC,"Service Corp. International, Inc.",SCI,3/31/07,SH,0,0,320198,3282000,
SOROS FUND MANAGEMENT LLC,Supervalu Inc.,SVU,3/31/07,CALL,0,0,225000,8044000,
SOROS FUND MANAGEMENT LLC,Supervalu Inc.,SVU,3/31/07,SH,0,0,55500,1984000,
SOROS FUND MANAGEMENT LLC,American Eagle Outfitters Inc,AEO,3/31/07,SH,0,0,667200,20823000,
SOROS FUND MANAGEMENT LLC,CA Inc,CA,3/31/07,PUT,0,0,16000,362000,
SOROS FUND MANAGEMENT LLC,CA Inc,CA,3/31/07,SH,0,0,58,1000,
SOROS FUND MANAGEMENT LLC,Applied Materials Inc.,AMAT,3/31/07,CALL,0,0,50000,923000,
SOROS FUND MANAGEMENT LLC,Applied Materials Inc.,AMAT,3/31/07,SH,0,0,25000,461000,
SOROS FUND MANAGEMENT LLC,LSI Corp. (CA),LSI,3/31/07,SH,0,0,96000,864000,
SOROS FUND MANAGEMENT LLC,BMC Software Inc,BMC,3/31/07,SH,0,0,71900,2315000,
SOROS FUND MANAGEMENT LLC,Multi-Fineline Electronix Inc,MFLX,3/31/07,SH,0,0,21470,436000,
SOROS FUND MANAGEMENT LLC,"Veeco Instruments, Inc. (DE)",VECO,3/31/07,CALL,0,0,50000,937000,
SOROS FUND MANAGEMENT LLC,Teradyne Inc.,TER,3/31/07,SH,0,0,16000,239000,
SOROS FUND MANAGEMENT LLC,Western Digital Corp,WDC,3/31/07,SH,0,0,192803,3945000,
SOROS FUND MANAGEMENT LLC,Isilon Systems Inc,ISLN,3/31/07,SH,0,0,34500,944000,
SOROS FUND MANAGEMENT LLC,Techwell Inc,TWLL,3/31/07,SH,0,0,89287,1434000,
SOROS FUND MANAGEMENT LLC,SRS Labs Inc.,SRSL,3/31/07,SH,0,0,66500,720000,
SOROS FUND MANAGEMENT LLC,L Brands Inc,LTD,3/31/07,SH,0,0,478100,13836000,
SOROS FUND MANAGEMENT LLC,Idearc Inc,IDARQ,3/31/07,SH,0,0,100000,2865000,
SOROS FUND MANAGEMENT LLC,BioMimetic Therapeutics Inc,BMTI,3/31/07,SH,0,0,440191,5806000,
SOROS FUND MANAGEMENT LLC,Pride  International Inc.,PDE,3/31/07,SH,0,0,353500,10609000,
SOROS FUND MANAGEMENT LLC,Perry Ellis International Corp,PERY,3/31/07,SH,0,0,132024,3609000,
SOROS FUND MANAGEMENT LLC,Brooks Automation Inc,BRKS,3/31/07,SH,0,0,86000,1238000,
SOROS FUND MANAGEMENT LLC,"Family Dollar Stores, Inc.",FDO,3/31/07,SH,0,0,134300,3939000,
SOROS FUND MANAGEMENT LLC,Getty Images Inc,GYI,3/31/07,SH,0,0,10000,428000,
SOROS FUND MANAGEMENT LLC,Juniper Networks Inc,JNPR,3/31/07,CALL,0,0,50000,947000,
SOROS FUND MANAGEMENT LLC,Juniper Networks Inc,JNPR,3/31/07,PRN,0,0,3000000,3259000,
SOROS FUND MANAGEMENT LLC,Legg Mason Inc.,LM,3/31/07,SH,0,0,218200,20740000,
SOROS FUND MANAGEMENT LLC,Adolor Corp,ADLR,3/31/07,CALL,0,0,21500,162000,
SOROS FUND MANAGEMENT LLC,"Quest Diagnostics, Inc.",DGX,3/31/07,SH,0,0,103100,5464000,
SOROS FUND MANAGEMENT LLC,Diamond Offshore Drilling,DO,3/31/07,SH,0,0,814100,65079000,
SOROS FUND MANAGEMENT LLC,Amylin Pharmaceuticals,AMLN,3/31/07,PUT,0,0,27600,996000,
SOROS FUND MANAGEMENT LLC,Citrix Systems Inc.,CTXS,3/31/07,SH,0,0,7500,203000,
SOROS FUND MANAGEMENT LLC,"Discovery Communications Inc, Class A",DISCA,3/31/07,SH,0,0,17692,285000,
SOROS FUND MANAGEMENT LLC,Goodyear Tire and Rubber Co.,GT,3/31/07,SH,0,0,1073500,22533000,
SOROS FUND MANAGEMENT LLC,NCR Corp. (New),NCR,3/31/07,SH,0,0,60000,2566000,
SOROS FUND MANAGEMENT LLC,Cypress Semiconductor Corp,CY,3/31/07,CALL,0,0,259200,4373000,
SOROS FUND MANAGEMENT LLC,Cypress Semiconductor Corp,CY,3/31/07,SH,0,0,301500,5086000,
SOROS FUND MANAGEMENT LLC,Metabasis Therapeutics Inc,MBRX,3/31/07,SH,0,0,135802,1021000,
SOROS FUND MANAGEMENT LLC,"Take-Two Interactive Software, Inc.",TTWO,3/31/07,SH,0,0,1011000,17955000,
SOROS FUND MANAGEMENT LLC,iShares Trust Dow Jones U.S. Real Estate Index Fund,IYR,3/31/07,PUT,0,0,158096,13177000,
SOROS FUND MANAGEMENT LLC,Merrill Lynch & Co. Inc Oil Service HOLDRS Trust,OIHYL,3/31/07,SH,0,0,235700,32918000,
SOROS FUND MANAGEMENT LLC,TriQuint Semiconductor Inc.,TQNT,3/31/07,PRN,0,0,83461000,83244000,
SOROS FUND MANAGEMENT LLC,TriQuint Semiconductor Inc.,TQNT,3/31/07,SH,0,0,146000,657000,
SOROS FUND MANAGEMENT LLC,"CNO Financial Group, Inc.",CNO,3/31/07,SH,0,0,175000,3497000,
SOROS FUND MANAGEMENT LLC,NRG Energy Inc,NRG,3/31/07,SH,0,0,14372,402000,
SOROS FUND MANAGEMENT LLC,"VimpelCom, Ltd.",VIP,3/31/07,SH,0,0,138800,10958000,
SOROS FUND MANAGEMENT LLC,Transocean Ltd,RIG,3/31/07,SH,0,0,504700,40825000,
SOROS FUND MANAGEMENT LLC,PowerShares QQQ Trust - Unit Series 1,QQQ,3/31/07,CALL,0,0,100000,4316000,
SOROS FUND MANAGEMENT LLC,Gannett Co.,GCI,3/31/07,SH,0,0,326850,19761000,
SOROS FUND MANAGEMENT LLC,"Marsh & McLennan Companies, Inc.",MMC,3/31/07,CALL,0,0,237500,7282000,
SOROS FUND MANAGEMENT LLC,Nokia Corp. ADR Class A,NOK,3/31/07,SH,0,0,77805,1581000,
SOROS FUND MANAGEMENT LLC,CME Group Inc,CME,3/31/07,CALL,0,0,37500,3823000,
SOROS FUND MANAGEMENT LLC,Leidos Holdings,LDOS,3/31/07,SH,0,0,282300,5022000,
SOROS FUND MANAGEMENT LLC,CarMax Inc.,KMX,3/31/07,SH,0,0,635000,17028000,
SOROS FUND MANAGEMENT LLC,"Hunt (J.B.) Transport Services, Inc.",JBHT,3/31/07,SH,0,0,44935,933000,
SOROS FUND MANAGEMENT LLC,Lincare Holdings Inc.,LNCR,3/31/07,PUT,0,0,75000,1992000,
SOROS FUND MANAGEMENT LLC,Ralph Lauren Corp. Class A,RL,3/31/07,SH,0,0,85500,6640000,
SOROS FUND MANAGEMENT LLC,"Taiwan Semiconductor Manufacturing Co., Ltd Class T",TSM,3/31/07,SH,0,0,1550000,16942000,
SOROS FUND MANAGEMENT LLC,Willbros Group Inc,WG,3/31/07,SH,0,0,102400,1935000,
SOROS FUND MANAGEMENT LLC,Banco Bradesco S.A. ADR,BBD,3/31/07,SH,0,0,11550,141000,
SOROS FUND MANAGEMENT LLC,iShares Inc. MSCI Malaysia Index Fund,EWM,3/31/07,SH,0,0,61500,560000,
SOROS FUND MANAGEMENT LLC,Wimm-Bill-Dann Foods OJSC ADS,WBD,3/31/07,SH,0,0,1116800,18581000,
SOROS FUND MANAGEMENT LLC,Rite Aid Corp.,RAD,3/31/07,SH,0,0,1079000,5870000,
SOROS FUND MANAGEMENT LLC,BusinessObjects,BOBJY,3/31/07,SH,0,0,19475,768000,
SOROS FUND MANAGEMENT LLC,"EZChip Semiconductor, Ltd.",EZCH,3/31/07,SH,0,0,57884,808000,
SOROS FUND MANAGEMENT LLC,EchoStar Corp.,SATS,3/31/07,PRN,0,0,67763000,69118000,
SOROS FUND MANAGEMENT LLC,"Gamestop Corp., Class A",GME,3/31/07,CALL,0,0,90200,2485000,
SOROS FUND MANAGEMENT LLC,"Gamestop Corp., Class A",GME,3/31/07,SH,0,0,672800,18539000,
SOROS FUND MANAGEMENT LLC,Safeway Inc.,SWY,3/31/07,SH,0,0,65800,2274000,
SOROS FUND MANAGEMENT LLC,Sybase Inc.,SY,3/31/07,PRN,0,0,5000000,5630000,
SOROS FUND MANAGEMENT LLC,Check Point Software Tech,CHKP,3/31/07,SH,0,0,515650,11303000,
SOROS FUND MANAGEMENT LLC,"Nektar Therapeutics, Inc.",NKTR,3/31/07,CALL,0,0,123500,1878000,
SOROS FUND MANAGEMENT LLC,Abitibibowater Inc. (Old),ABWTQ,3/31/07,SH,0,0,54170,1219000,
SOROS FUND MANAGEMENT LLC,Pixelworks Inc,PXLW,3/31/07,SH,0,0,83600,574000,
SOROS FUND MANAGEMENT LLC,BearingPoint Inc,BGPTQ,3/31/07,SH,0,0,4600,1810000,
SOROS FUND MANAGEMENT LLC,Infineon Technology AG ADS,IFX,3/31/07,SH,0,0,10263,144000,
SOROS FUND MANAGEMENT LLC,Companhia Vale de Rio Doce S.A. ADR,VALE,3/31/07,CALL,0,0,6258400,186125000,
SOROS FUND MANAGEMENT LLC,Midwest Air Group Inc,MEH,3/31/07,SH,0,0,71250,819000,
SOROS FUND MANAGEMENT LLC,Solectron Corp.,SLR,3/31/07,PRN,0,0,12020000,9886000,
SOROS FUND MANAGEMENT LLC,GlobalSantaFe Corp.,GSF,3/31/07,SH,0,0,887961,52194000,
SOROS FUND MANAGEMENT LLC,Abitibi Consolidated Inc,ABY,3/31/07,SH,0,0,302500,776000,
SOROS FUND MANAGEMENT LLC,BISYS Group,BSG,3/31/07,PUT,0,0,28000,361000,
SOROS FUND MANAGEMENT LLC,Computer Network Technology,CMNT,3/31/07,PRN,0,0,30595000,30497000,
SOROS FUND MANAGEMENT LLC,Domtar Inc,DTC,3/31/07,SH,0,0,222200,1878000,
SOROS FUND MANAGEMENT LLC,"Lucent Technologies, Inc.",LU,3/31/07,PRN,0,0,16500000,16583000,
SOROS FUND MANAGEMENT LLC,"McData Corp, Class B",MCDT,3/31/07,PRN,0,0,16000000,15040000,
SOROS FUND MANAGEMENT LLC,SCI Systems Inc.,SCI,3/31/07,PRN,0,0,117306000,116696000,
SOROS FUND MANAGEMENT LLC,Companhia Vale de Rio Doce S.A. ADR,VALE,6/30/07,SH,8708645,387970000,10846695,401219000,12.3069
SOROS FUND MANAGEMENT LLC,International Rectifier Corp.,IRF,6/30/07,PRN,153694000,153325000,153694000,152829000,4.8637
SOROS FUND MANAGEMENT LLC,Ciena Corp,CIEN,6/30/07,PRN,111516000,110122000,108556000,106521000,3.4932
SOROS FUND MANAGEMENT LLC,QUALCOMM Inc.,QCOM,6/30/07,SH,2347390,101853000,2556100,109043000,3.2309
SOROS FUND MANAGEMENT LLC,JetBlue Airways Corp,JBLU,6/30/07,SH,8568750,100683000,10232543,117777000,3.1938
SOROS FUND MANAGEMENT LLC,ICICI Bank Ltd. ADS,IBN,6/30/07,SH,2039700,100251000,750000,27563000,3.1801
